KEY ID	Korean
HowToPlayText7	회의가 끝나면 임포스터라고 생각한 사람에게 투표하세요.\n\n가장 많은 표를 받은 플레이어는 함선에서 방출되므로, 현명하게 선택해야 합니다!\n\n크루원으로서 정보가 부족한 경우, 무고한 플레이어를 방출하지 않고 더 많은 정보를 수집할 수 있도록 투표를 건너뛸 수 있습니다.
HowToPlayText81	연습 모드에서 연습해보세요!
HowToPlayText82	크루원이 되어 직접 임무를 설정하거나, 임포스터로서 처치 전략을 연습하세요!
SettingsGeneral	일반
SettingsControls	컨트롤
SettingsSound	사운드
SettingsGraphics	그래픽
SettingsData	데이터
SettingsCensorChat	채팅 검열
SettingsMusic	음악
SettingsSFX	특수 효과
SettingsOn	켬
SettingsOff	끔
SettingsSendTelemetry	원격 분석 전송
SettingsControlMode	컨트롤 모드
SettingsTouchMode	터치
SettingsJoystickMode	조이스틱
SettingsKeyboardMode	마우스+키보드
SettingsFullscreen	전체 화면
SettingsVSync	VSync
SettingsResolution	해상도
SettingsApply	적용
SettingsPersonalizeAds	맞춤형 광고
SettingsLanguage	언어
SettingsJoystickSize	크기
SettingsMouseMode	마우스
MatchMapName	맵:
MatchLanguage	채팅:
MatchImpostors	임포스터:
MatchMaxPlayers	최대 플레이어:
Cancel	취소
Confirm	확인
PlayerColor	색상
PlayerHat	모자
PlayerSkin	스킨
PlayerPet	펫
GameSettings	게임
GameRecommendedSettings	권장 설정
GameCustomSettings	커스텀 설정
GameMapName	맵
GameNumImpostors	임포스터 수
GameNumMeetings	긴급회의 수
GameDiscussTime	회의 시간
GameVotingTime	투표 시간
GamePlayerSpeed	플레이어 속도
GameCrewLight	크루원 시야
GameImpostorLight	임포스터 시야
GameKillCooldown	처치 쿨다운
GameKillDistance	처치 거리
GameCommonTasks	공통 임무 수
GameLongTasks	복잡한 임무 수
GameShortTasks	간단한 임무 수
GameEmergencyCooldown	긴급회의 쿨다운
GameSecondsAbbrev	{0}초
GameConfirmImpostor	방출 확인
GameVisualTasks	임무 수행 표시
GameAnonymousVotes	익명 투표
GameTaskBarMode	임무 진행 게이지 업데이트
SettingNormalTaskMode	항상
SettingMeetingTaskMode	회의
SettingInvisibleTaskMode	안 함
Limit	제한
RoomCode	코드
LeaveGame	게임 나가기
ReturnToGame	게임으로 돌아가기
LocalHelp	연결 문제가 있으신가요?\n\n● 모두가 같은 Wi-Fi 이름에 연결되어 있는지 확인하세요.\n● 모두가 같은 버전인지 확인하세요(왼쪽 상단에서 확인 가능).\n● Wi-Fi 신호가 강한지 확인하세요.\n● 다른 사람이 주최하면 문제가 해결될 수도 있습니다.\n● 앱을 재시작하면 도움이 될 때도 있죠...\n● 휴대폰을 재시작해서 해결되는 경우도 있고요...\n● 여전히 문제가 발생하나요? Discord를 통해 알려주세요!
OnlineHelp	어떤 식으로 이루어지나요?\n\n● 게임을 주최하면 시작 버튼 옆에 게임 코드가 표시됩니다.\n● 친구에게 게임 코드를 공유해 비공개 방을 만드세요.\n● "비공개"를 탭하면 다른 사람이 "게임 찾기"로 찾을 수 있는 공개 방을 만들 수 있습니다.\n● 주최자는 채팅이 가능한 곳에서 플레이어를 차단하거나 추방할\n수 있습니다.\n● 여전히 문제가 발생하나요? Discord를 통해 알려주세요
EmergencyCount	크루원 {0}이(가)\n\n\n\n긴급회의를 소집할 수 있습니다.
EmergencyNotReady	크루원은 다음 긴급회의를 소집하기까지\n\n\n\n기다려야 합니다.
EmergencyDuringCrisis	위기 상황에서는\n긴급회의를 소집할 수 없습니다.
EmergencyRequested	긴급회의 요청됨\n주최자를 기다리는 중
AdPolicyTitle	광고 정책
AdPolicyText	Among Us는 앱을 무료로 제공하기 위해 매치가 끝날 때마다 AdMob 광고를 사용합니다.\n기본적으로 AdMob은 맞춤형 광고를 위해 데이터를 수집합니다. 또한 AdMob은 맞춤형 광고가 아니더라도\n계속해서 쿠키, 기기 ID, 대략적인 위치 정보를 사용합니다.\n이러한 부분은 비활성활 수 없으므로, 대신 광고 없는 업그레이드를 구매하시기 바랍니다(2 USD).\n\n\n광고 없음 업그레이드를 구매한 플레이어가 게임을 주최하면\n친구들도 광고 없이 게임을 즐길 수 있습니다.! 이전에 업그레이드를 구매했다면 스토어를 열고\n구매 내역을 복원하시기 바랍니다.
Accept	허용
RemoveAds	광고 제거
PlainYes	예
PlainNo	아니요
PrivacyPolicyTitle	개인정보 보호정책
PrivacyPolicyText	Innersloth는 Among Us를 대신해 개인정보를 처리합니다. [https://innersloth.com/privacy.php]개인정보 보호정책[]을 확인해 자세한 내용을 확인하시기 바랍니다. Among Us에서의 개인정보 설정은 "데이터"에서 관리할 수 있습니다.
ManageDataButton	데이터 수집 관리
UnderstandButton	알겠습니다
WaterPlants	식물에 물 주기
WeatherEta	예상 시간: {0}초
WeatherComplete	완료
RunDiagnostics	진단 실행하기
SettingShort	짧음
SettingMedium	중간
SettingLong	김
SamplesPress	눌러서 시작하기
SamplesAdding	시약 추가하기
SamplesSelect	이상 현상 선택하기
SamplesThanks	감사합니다!
SamplesComplete	시험 완료
AstDestroyed	파괴함: {0}
TaskTestTitle	임무 테스터 2000
BeginDiagnostics	진단 시작하기
UserLeftGame	{0} 님이 게임에서 나갔습니다.
GameStarting	{0} 초후 시작
ChatRateLimit	너무 빠릅니다. {0}초 기다리세요.
Tasks	임무
MedscanRequested	스캔 요청됨
MedscanWaitingFor	{0} 기다리는 중
MedscanCompleted	스캔 완료!
MedscanCompleteIn	{0}초 후 스캔 완료
StatsTitle	통계
StatsBodiesReported	시체 보고:\t
StatsEmergenciesCalled	긴급회의 소집:\t
StatsTasksCompleted	임무 완료:\t
StatsAllTasksCompleted	모든 임무 완료:\t
StatsSabotagesFixed	방해 공작 수리:\t
StatsImpostorKills	임포스터로 처치:\t\t
StatsTimesMurdered	살해된 횟수:\t
StatsTimesEjected	방출된 횟수:\t\t
StatsCrewmateStreak	연속 크루원:\t
StatsGamesImpostor	임포스터를 맡은 횟수:\t
StatsGamesCrewmate	크루원을 맡은 횟수:\t
StatsGamesStarted	게임 시작:\t
StatsGamesFinished	게임 종료:\t
StatsImpostorVoteWins	임포스터 투표 승리:\t
StatsImpostorKillsWins	임포스터 처치 승리:\t
StatsImpostorSabotageWins	임포스터 방해 공작 승리:\t
StatsCrewmateVoteWins	크루원 투표 승리:\t
StatsCrewmateTaskWins	크루원 임무 승리:\t
MonitorOxygen	나무 모니터링하기
StoreArtifacts	유물 보관하기
FillCanisters	산소통 채우기
InsertKeys	열쇠 삽입하기
ResetSeismic	지반 안정 장치 초기화
SeismicHoldToStop	길게 눌러 지반 안정 장치 활성화
SeismicNominal	지반 활동 정상
ScanBoardingPass	탑승권 스캔하기
FixWeatherNode	날씨 노드 수리하기
OpenWaterways	수로 열기
ReplaceWaterJug	물통 교체하기
RepairDrill	드릴 수리하기
AlignTelescope	망원경 정렬하기
RecordTemperature	온도 기록하기
RebootWifi	Wi-Fi 재부팅하기
WifiRebootRequired	재부팅 필요
WifiPleaseWait	기다려주세요.
WifiPleaseReturnIn	{0}초 후 돌아오세요.
WifiPleasePowerOn	전력을 켜주세요.
WifiRebootComplete	재부팅 완료
Outside	외부
Dropship	수송선
Decontamination2	소독실
Specimens	표본 보관실
BoilerRoom	보일러실
GameOverImpostorDead	원래는 임포스터가 사망하면 크루원이 승리합니다. 연습 모드에서는 그 대신 모두를 되살립니다.
GameOverImpostorKills	원래는 크루원이 더 이상 이길 수 없으므로 임포스터가 승리합니다. 연습 모드에서는 그 대신 모두를 되살립니다.
GameOverTaskWin	원래는 임무 진행 게이지가 가득 찼기 때문에 크루원이 승리합니다. 연습 모드에서는 대신 새 임무를 추가합니다.
GameOverSabotage	원래는 방해 공작 성공으로 임포스터가 승리합니다. 여기에서는 그냥 방해 공작을 차단하겠습니다.
HowToPlayText2Switch	Nintendo Switch Online 멤버십이나 로컬 Wi-Fi를 통해 온라인으로 4~10명과 함께 플레이하세요!
VentDirection	환풍구 위치
VentMove	환풍구를 통한 이동
MenuNavigate	탐색
NsoError	네트워크에 연결할 수 없습니다.
ErrorServerOverload	Among Us 서버가 가득 찼습니다.\r\n\r\n죄송합니다! 나중에 다시 시도해주세요!
ErrorIntentionalLeaving	강제로 연결을 끊었기 때문에 다른 게임에 합류하려면 {0}분을 기다려야 합니다.
ErrorFocusLost	다른 소프트웨어에 의해 Among Us가 중단되어 연결이 끊겼습니다. 
ErrorBanned	{0}에서 차단되었습니다.\r\n\r\n해당 방에 다시 들어갈 수 없습니다.
ErrorKicked	{0}에서 추방됐습니다.\r\n\r\n이 방에서 게임이 시작되지 않았다면 다시 합류할 수 있습니다.
ErrorBannedNoCode	방에서 차단되었습니다.\r\n\r\n해당 방에 다시 들어갈 수 없습니다.
ErrorKickedNoCode	방에서 추방됐습니다.\r\n\r\n이 방에서 게임이 시작되지 않았다면 다시 합류할 수 있습니다.
ErrorHacking	해킹으로 인해 차단됐습니다.\r\n\r\n해킹을 중단해주세요.
ErrorFullGame	합류하려는 게임의 정원이 가득 찼습니다.\r\n\r\n다음 라운드에 합류할 수 있는지 주최자에게 확인하세요.
ErrorStartedGame	합류하려는 게임이 이미 시작됐습니다.\r\n\r\n다음 라운드에 합류할 수 있는지 주최자에게 확인하세요.
ErrorNotFoundGame	조회하신 게임을 찾을 수 없습니다.
ErrorInactivity	서버에서 게임을 중단했습니다. 비활성화 상태 때문일 수 있습니다.
ErrorGenericOnlineDisconnect	서버에서 연결이 끊겼습니다.\r\n이런 일이 자주 일어난다면 네트워크 강도를 확인하세요.\r\n서버 문제일 수도 있습니다.
ErrorGenericLocalDisconnect	주최자와 연결 해제되었습니다.\r\n\r\n이런 일이 자주 일어난다면 Wi-Fi 강도를 확인하세요.
ErrorInvalidName	서버에서 {0} 사용자 이름을 거부했습니다.
ErrorUnknown	알 수 없는 오류로 서버에서 연결이 끊겼습니다.
ErrorIncorrectVersion	소프트웨어의 오래된 버전을 구동하고 있습니다.\r\n\r\n다른 사람과 플레이하려면 업데이트해주세요.
	
ServerNA	북미
ServerEU	유럽
ServerAS	아시아
ServerSA	남미
LangEnglish	English
LangFrench	Français
LangItalian	Italiano
LangGerman	Deutsch
LangSpanish	Español
LangSpanishLATAM	Español (Latinoamérica)
LangBrazPort	Português (Brasil)
LangPort	Português
LangRussian	Русский
LangJapanese	日本語
LangKorean	한국어
LangDutch	Nederlands
LangFilipino	Bisaya
PlayerName	플레이어
MyTablet	내 태블릿
Headquarters	본부
DownloadTestEstTimeS	예상 시간: {0}초
DownloadTestEstTimeMS	예상 시간: {0}분 {1}초
DownloadTestEstTimeHMS	예상 시간: {0}시간 {1}분 {2}초
DownloadTestEstTimeDHMS	예상 시간: {0}일 {1}시간 {2}분 {3}초
DownloadComplete	완료
GrabCoffee	커피라도 한잔하세요
TakeBreak	잠깐 쉬세요
DontNeedWait	기다릴 필요는 없습니다
DoSomethingElse	다른 뭔가를 하세요
NodeTB	노드_TB
NodeIRO	노드_IRO
NodeGI	노드_GI
NodePD	노드_PD
NodeCA	노드_CA
NodeMLG	노드_MLG
Vending	나오는 중
OtherLanguage	기타
ImposterAmtAny	모두
	
VitalsORGN	주황
VitalsBLUE	파랑
VitalsRED	빨강
VitalsBRWN	갈색
VitalsGRN	초록
VitalsPINK	분홍
VitalsWHTE	하양
VitalsYLOW	노랑
VitalsBLAK	검정
VitalsPURP	보라
VitalsCYAN	청록
VitalsLIME	연두
ColorOrange	주황
ColorBlue	파랑
ColorRed	빨강
ColorBrown	갈색
ColorGreen	초록
ColorPink	분홍
ColorWhite	하양
ColorYellow	노랑
ColorBlack	검정
ColorPurple	보라
ColorCyan	청록
ColorLime	연두
MedID	ID:
MedC	색:
MedHT	키:
MedBT	혈액:
MedWT	무게:
MedETA	예상 시간 {0}
MedHello	안녕하세요!
LobbySizeWarning	Among Us는 4인으로도 즐길 수 있지만, 5명 이상 플레이하는 것이 좋습니다.\n\n4인 플레이어 게임은 매우 빨리 끝나며 대부분 임포스터가 승리합니다.
Okay	확인
OkayDontShow	확인, 다시 표시하지 않음
Nevermind	상관없음
CamEast	동쪽
CamCentral	중앙
CamNortheast	북동쪽
CamSouth	남쪽
CamSouthwest	남서쪽
CamNorthwest	북서쪽
LoadingFailed	불러오기 실패:
PetFailFetchData	펫 데이터를 가져올 수 없음
BadResult	결과 나쁨
More	{0} 남음
Processing	처리 중
ExitGame	매치 종료
WaitingForHost	주최자 기다리는 중
LeftGameError	오류로 인해 {0} 님이 게임에서 나갔습니다.
PlayerWasBannedBy	{1} 님이 {0} 님을 차단했습니다
PlayerWasKickedBy	{1} 님이 {0} 님을 추방했습니다
Dummy	더미
Bad	나쁨
Status	상태: 
Fine	좋음
OK	확인
SecondsAbbv	{0}초
PetTryOn	다른 걸 시도하세요!
DataPolicyWhat	무엇이 수집되나요?
	
	
	
VaultRoom	금고
Cockpit	조종실
Armory	무기고
Kitchen	주방
ViewingDeck	전망 데크
HallOfPortraits	초상화 전당
Medical	의무실
CargoBay	화물실
Ventilation	환기실
Showers	샤워실
Engine	엔진실
Brig	함교
MeetingRoom	회의실
Records	기록실
Lounge	라운지
GapRoom	틈새 공간
MainHall	중앙 홀
	
PolishRuby	루비 광내기
ResetBreakers	브레이커 재설정
Decontaminate	소독하기
MakeBurger	버거 만들기
UnlockSafe	금고 잠금 해제하기
SortRecords	기록 정리하기
PutAwayPistols	권총 치우기
PutAwayRifles	소총 치우기
FixShower	샤워기 고치기
CleanToilet	변기 청소하기
DressMannequin	마네킹에 옷 입히기
PickUpTowels	타월 줍기
RewindTapes	테이프 뒤로 감기
StartFans	환풍기 가동하기
DevelopPhotos	사진 인화하기
GetBiggolSword	비골 검 획득하기
StopCharles	충돌 항로 방지
	
RevealCode	코드 밝히기
DirtyHeader	더러움
AuthLeftOkay	왼쪽 확인
AuthRightOkay	오른쪽 확인
AuthLeftActive	왼쪽 활성화
AuthRightActive	오른쪽 활성화
AuthLeftNotActive	왼쪽 비활성화
AuthRightNotActive	오른쪽 비활성화
EngagementScreen	아무 버튼이나 눌러 시작하세요.
DeleteButton	삭제
QuickChat	빠른 채팅
QCLocationLaptop	노트북
QCLocationSkeld	스켈드
QCLocationMira	Mira 
QCLocationPolus	폴루스
QCSystemsStart	시작
QCSystemsKick	추방
QCCrewI	나
QCCrewMe	저
QCCrewNoOne	아무도 아님
QCAccAKilledB	{0}(은)는 {1}(을)를 죽였어
QCAccAKilledBNeg	{0}(은)는 {1}(을)를 죽이지 않았어
QCAccAIsSuspicious	{0}(이)가 의심스러워
QCAccAIsSuspiciousNeg	{0}(은)는 범인 아니야
QCAccASawBVent	{0}(은)는 {1}(을)를 환풍구에서 봤어
QCAccASawBVentNeg	{0}(은)는 {1}(을)를 환풍구에서 한 번도 못 봤어
QCAccAWasChasingB	{0}(은)는 {1}(을)를 따라다녔어
QCAccAWasChasingBNeg	{0}(은)는 {1}(을)를 따라다니지 않았어
QCAccAIsLying	{0}(은)는 거짓말하고 있어
QCAccAIsLyingNeg	{0}(은)는 사실을 말하고 있어
QCAccVoteA	{0}에 투표해
QCAccVoteANeg	{0}에 투표 하지마
QCAccADidntReport	{0}(은)는 시체 신고 안 했어
QCResYes	예
QCResNo	아니요
QCResDontKnow	모르겠음
QCResDontKnowNeg	아마도
QCResAWas	{0}(이)였어
QCResAWasNeg	{0}(은)는 아니 었어
QCResADid	{0}(은)는 그랬어
QCResADidNeg	{0}(은)는 안 그랬어
QCResVote	투표
QCResVoteNeg	투표 건너뛰기
QCResAWasAtB	{0}(은)는 {1}에 있었어
QCResAWasAtBNeg	{0}(은)는 {1}에 없었어
QCResRip	RIP
QCResRipNeg	이런
QCResLies	거짓말
QCResLiesNeg	오케이
QCQstWhere	어디?
QCQstWho	누구?
QCQstWhoWasWith	{0}(이)랑 있던 사람?
QCQstWhatWasADoing	{0}(이)가 뭐 하고 있었지?
QCQstWhoFixedA	{0} 누가 고쳤어?
QCQstWhereWasA	{0}(은)는 어디 있었지?
QCQstBodyOrMeeting	시체 발견이야, 긴급회의야?
QCStaASawB	{0}(은)는 {1}(을)를 봤어
QCStaAWasWithB	{0}(은)는 {1}(이)랑 있었어
QCStaADidB	{0}(은)는 {1} 했어
QCStaASelfReported	{0}(은)는 자기를 신고했어
QCStaDoubleKill	더블 킬이었어
QCStaWasSelfReport	자기를 신고한 거야
QCStaPleaseDoTasks	임무를 수행해줘
QCStaBodyWasInA	시체는 {0}에 있었어
QCStaACalledMeeting	회의를 소집한 건 {0}(이)야
QCLocation	위치
QCSystems	시스템
QCCrew	크루원
QCAccusation	혐의
QCResponse	대답
QCQuestion	질문
QCStatements	진술
ChatType	채팅 유형
QuickChatOnly	빠른 채팅 전용
FreeChatOnly	자유 채팅 전용
FreeOrQuickChat	자유 또는 빠른 채팅
DateOfBirth	생일
DateOfBirthEnter	생일을 입력하세요.
Month	월:
Day	일:
Year	년:
January	1월
February	2월
March	3월
April	4월
May	5월
June	6월
July	7월
August	8월
September	9월
October	10월
November	11월
December	12월
Submit	제출
	
QCAccAKilledB_QCCrewMe_ANY	내가 {0} 죽였어
QCAccAKilledB_QCCrewMe_QCCrewNoOne	난 아무도 안 죽였어
QCAccAKilledB_QCCrewMe_QCCrewMe	
QCAccAKilledB_ANY_QCCrewMe	{0}(이)가 날 죽였어
QCAccAKilledB	{0}(이)가 {1} 죽였어
QCAccAKilledB_ANY_QCCrewNoOne	{0}(은)는 아무도 안 죽였어
QCAccAKilledB_QCCrewNoOne_QCCrewMe	아무도 날 안 죽였어
QCAccAKilledB_QCCrewNoOne_ANY	아무도 {0}(을)를 안 죽였어
QCAccAKilledB_QCCrewNoOne_QCCrewNoOne	아무도 죽인 사람 없어
QCAccAKilledBNeg_QCCrewMe_ANY	난 {0} 안 죽였어
QCAccAKilledBNeg_QCCrewMe_QCCrewNoOne	난 아무도 안 죽였어
QCAccAKilledBNeg_QCCrewMe_QCCrewMe	나 자살한 거 아냐
QCAccAKilledBNeg_ANY_QCCrewMe	{0}(은)는 날 안 죽였어
QCAccAKilledBNeg	{0}(은)는 {1}(을)를 안 죽였어
QCAccAKilledBNeg_ANY_QCCrewNoOne	{0}(은)는 아무도 안 죽였어
QCAccAKilledBNeg_QCCrewNoOne_QCCrewMe	
QCAccAKilledBNeg_QCCrewNoOne_ANY	
QCAccAKilledBNeg_QCCrewNoOne_QCCrewNoOne	
QCAccAIsSuspicious_QCCrewMe	내가 의심스러워
QCAccAIsSuspicious	{0}(이)가 의심스러워
QCAccAIsSuspicious_QCCrewNoOne	의심스러운 사람 없어
QCAccAIsSuspiciousNeg_QCCrewMe	난 좋은 사람이야
QCAccAIsSuspiciousNeg	{0}(은)는 좋은 사람이야
QCAccAIsSuspiciousNeg_QCCrewNoOne	다들 나빠
QCAccASawBVent_QCCrewMe_ANY	{0}(이)가 환풍구 쓰는 거 봤어
QCAccASawBVent_QCCrewMe_QCCrewNoOne	환풍구 쓰는 사람 못 봤어
QCAccASawBVent_QCCrewMe_QCCrewMe	
QCAccASawBVent_ANY_QCCrewMe	{0}(은)는 내가 환풍구 쓰는 거 봤어
QCAccASawBVent	{0}(은)는 {1}(이)가 환풍구 쓰는 거 봤어
QCAccASawBVent_ANY_QCCrewNoOne	{0}(은)는 환풍구 쓰는 사람 못 봤어
QCAccASawBVent_QCCrewNoOne_QCCrewMe	아무도 내가 환풍구 쓰는 거 못 봤어
QCAccASawBVent_QCCrewNoOne_ANY	아무도 {0}(이)가 환풍구 쓰는 거 못 봤어
QCAccASawBVent_QCCrewNoOne_QCCrewNoOne	아무도 누가 환풍구 쓰는 거 못 봤어
QCAccASawBVentNeg_QCCrewMe_ANY	난 {0}(이)가 환풍구 쓰는 거 절대 못 봤어
QCAccASawBVentNeg_QCCrewMe_QCCrewNoOne	난 그 누구도 환풍구 쓰는 거 절대 못 봤어
QCAccASawBVentNeg_QCCrewMe_QCCrewMe	
QCAccASawBVentNeg_ANY_QCCrewMe	{0}(은)는 내가 환풍구 쓰는 거 절대 못 봤어
QCAccASawBVentNeg	{0}(은)는 {1}(이)가 환풍구 쓰는 거 절대 못 봤어
QCAccASawBVentNeg_ANY_QCCrewNoOne	{0}은(는) 그 누구도 환풍구 쓰는 거 절대 못 봤어
QCAccASawBVentNeg_QCCrewNoOne_QCCrewMe	그 누구도 내가 환풍구 쓰는 거 절대 못 봤어
QCAccASawBVentNeg_QCCrewNoOne_ANY	그 누구도 {0}(이)가 환풍구 쓰는 거 절대 못 봤어
QCAccASawBVentNeg_QCCrewNoOne_QCCrewNoOne	누가 환풍구 쓰는 거 본 사람 하나도 없어
QCAccAWasChasingB_QCCrewMe_ANY	난 {0}(을)를 따라다녔어
