KEY ID	Brazilian Portuguese
StatsCrewmateTaskWins	Vitórias por tarefa como Tripulante:\t
MonitorOxygen	Monitorar árvore
StoreArtifacts	Guardar artefatos
FillCanisters	Encher cilindros
InsertKeys	Inserir chaves
ResetSeismic	Reiniciar estabilizadores sísmicos
SeismicHoldToStop	Segure pra ativar estabilizador sísmico
SeismicNominal	Atividade sísmica estável
ScanBoardingPass	Ler cartão de embarque
FixWeatherNode	Arrumar terminal climático
OpenWaterways	Abrir registro
ReplaceWaterJug	Encher galão de água
RepairDrill	Consertar sonda
AlignTelescope	Alinhar telescópio
RecordTemperature	Registrar temperatura
RebootWifi	Reiniciar Wi-Fi
WifiRebootRequired	Reinicie o sistema
WifiPleaseWait	Aguarde
WifiPleaseReturnIn	Volte em {0}
WifiPleasePowerOn	Ligue o aparelho
WifiRebootComplete	Sistema reiniciado
Outside	Exterior
Dropship	Cápsula
Decontamination2	Descontaminação
Specimens	Sala de Amostras
BoilerRoom	Caldeira
GameOverImpostorDead	Normalmente, a Tripulação teria vencido com a morte do Impostor. Mas na Partida Livre, revivemos todo mundo.
GameOverImpostorKills	Normalmente, o Impostor teria vencido, já que a Tripulação não tem mais como vencer. Mas na Partida Livre, revivemos todo mundo.
GameOverTaskWin	Normalmente, a Tripulação teria vencido com a barra de tarefas cheia. Mas na Partida Livre, distribuímos tarefas novas.
GameOverSabotage	Normalmente, o Impostor teria vencido graças a uma sabotagem avançada. Em vez disso, remediamos a situação.
HowToPlayText2Switch	Jogue em grupos de 4 a 10 jogadores online com a sua assinatura Nintendo Switch Online ou por Wi-Fi local!
VentDirection	Direção do duto
VentMove	Andar pelo duto
MenuNavigate	Navegar
NsoError	Não foi possível conectar à rede.
ErrorServerOverload	Os servidores de Among Us estão sobrecarregados.\r\n\r\nFoi mal! Tente novamente mais tarde.
ErrorIntentionalLeaving	Ao sair de propósito de uma partida, você não poderá entrar em outra pelos próximos {0} minutos.
ErrorFocusLost	Você foi desconectado porque outro aplicativo suspendeu o Among Us.
ErrorBanned	Você foi banido de {0}.\r\n\r\nVocê não pode mais voltar para essa sala.
ErrorKicked	Você foi expulso de {0}.\r\n\r\nVocê pode voltar se a sala ainda não tiver começado.
ErrorBannedNoCode	Você foi banido da sala.\r\n\r\nVocê não pode mais voltar para essa sala.
ErrorKickedNoCode	Você foi expulso da sala.\r\n\r\nVocê pode voltar se a sala ainda não tiver começado.
ErrorHacking	Você foi banido por usar hack.\r\n\r\nNão toleramos esse tipo de comportamento.
ErrorFullGame	A partida em que você tentou entrar está cheia.\r\n\r\nConfira com o anfitrião se você pode entrar na próxima rodada.
ErrorStartedGame	A partida em que você tentou entrar já começou.\r\n\r\nConfira com o anfitrião se você pode entrar na próxima rodada.
ErrorNotFoundGame	Não foi possível encontrar a partida que você está procurando.
ErrorInactivity	O servidor interrompeu essa partida (possivelmente por inatividade).
ErrorGenericOnlineDisconnect	Você se desconectou do servidor.\r\nSe isso ocorrer com frequência, verifique o sinal da sua rede.\r\nO problema também pode ser no servidor.
ErrorGenericLocalDisconnect	Você se desconectou do servidor.\r\n\r\nSe isso ocorrer com frequência, verifique o sinal da sua rede Wi-Fi.
ErrorInvalidName	O servidor não aceitou o nome de usuário: {0}
ErrorUnknown	Um erro desconhecido desconectou você do servidor.
ErrorIncorrectVersion	Você está executando uma versão antiga do aplicativo.\r\n\r\nAtualize para poder jogar com outras pessoas.
	
ServerNA	América do Norte
ServerEU	Europa
ServerAS	Ásia
ServerSA	América do Sul
LangEnglish	English
LangFrench	Français
LangItalian	Italiano
LangGerman	Deutsch
LangSpanish	Español
LangSpanishLATAM	Español (Latinoamérica)
LangBrazPort	Português (Brasil)
LangPort	Português
LangRussian	Русский
LangJapanese	日本語
LangKorean	한국어
LangDutch	Nederlands
LangFilipino	Bisaya
PlayerName	Jogador
MyTablet	Meu tablet
Headquarters	Sede
DownloadTestEstTimeS	Tempo estimado: {0}s
DownloadTestEstTimeMS	Tempo estimado: {0}m {1}s
DownloadTestEstTimeHMS	Tempo estimado: {0}hr {1}m {2}s
DownloadTestEstTimeDHMS	Tempo estimado: {0}d {1}hr {2}m {3}s
DownloadComplete	Completo
GrabCoffee	HORA DO CAFE
TakeBreak	FACA UMA PAUSA
DontNeedWait	DE UM PASSEIO
DoSomethingElse	FACA OUTRA COISA
NodeTB	Nó_TB
NodeIRO	Nó_IRO
NodeGI	Nó_GI
NodePD	Nó_PD
NodeCA	Nó_CA
NodeMLG	Nó_MLG
Vending	AGUARDE
OtherLanguage	Outro
ImposterAmtAny	1-3
	
VitalsORGN	LRNJ
VitalsBLUE	AZUL
VitalsRED	VRML
VitalsBRWN	MARR
VitalsGRN	VERD
VitalsPINK	ROSA
VitalsWHTE	BRNC
VitalsYLOW	AMRL
VitalsBLAK	PRET
VitalsPURP	ROXO
VitalsCYAN	CIAN
VitalsLIME	LIMA
ColorOrange	LARANJA
ColorBlue	AZUL
ColorRed	VERMELHO
ColorBrown	MARROM
ColorGreen	VERDE
ColorPink	ROSA
ColorWhite	BRANCO
ColorYellow	AMARELO
ColorBlack	PRETO
ColorPurple	ROXO
ColorCyan	CIANO
ColorLime	LIMA
MedID	ID:
MedC	C:
MedHT	AL:
MedBT	PE:
MedWT	TS:
MedETA	TEMPO: {0}
MedHello	OI!
LobbySizeWarning	É possível jogar Among Us com 4 jogadores, mas recomendamos 5 ou mais.\n\nJogos com 4 pessoas acabam rápido e, muitas vezes, o Impostor ganha.
Okay	OK
OkayDontShow	OK, não \nexibir isso
Nevermind	Tanto faz
CamEast	Leste
CamCentral	Centro
CamNortheast	Nordeste
CamSouth	Sul
CamSouthwest	Sudoeste
CamNorthwest	Noroeste
LoadingFailed	Falha no carregamento:
PetFailFetchData	Não foi possível baixar os dados de mascotes
BadResult	FALHOU
More	MAIS {0}
Processing	Processando
ExitGame	Sair da partida
WaitingForHost	Aguardando anfitrião
LeftGameError	{0} saiu da partida devido a um erro.
PlayerWasBannedBy	{1} baniu {0}
PlayerWasKickedBy	{1} expulsou {0}
Dummy	Boneco
Bad	ERRO
Status	Status: 
Fine	CERTO
OK	OK
SecondsAbbv	{0}s
PetTryOn	Experimente algum!
DataPolicyWhat	O que é coletado?
	
	
	
VaultRoom	Caixa-forte
Cockpit	Cabine
Armory	Armaria
Kitchen	Cozinha
ViewingDeck	Deck panorâmico
HallOfPortraits	Salão de retratos
Medical	Ala médica
CargoBay	Cargas
Ventilation	Ventilação
Showers	Duchas
Engine	Casa de máquinas
Brig	Alojamentos
MeetingRoom	Sala de reunião
Records	Sala de arquivos
Lounge	Saguão
GapRoom	Sala suspensa
MainHall	Salão principal
	
PolishRuby	Polir rubi
ResetBreakers	Restabelecer disjuntores
Decontaminate	Descontaminar
MakeBurger	Fazer hambúrguer
UnlockSafe	Abrir cofre
SortRecords	Arrumar registros
PutAwayPistols	Guardar pistolas
PutAwayRifles	Guardar rifles
FixShower	Arrumar ducha
CleanToilet	Limpar banheiro
DressMannequin	Vestir manequim
PickUpTowels	Recolher toalhas
RewindTapes	Rebobinar fitas
StartFans	Ligar ventiladores
DevelopPhotos	Desenvolver fotos
GetBiggolSword	Pegar espada Biggol
StopCharles	Desviar da rota de colisão
	
RevealCode	Revelar código
DirtyHeader	SUJO
AuthLeftOkay	
AuthRightOkay	
AuthLeftActive	
AuthRightActive	
AuthLeftNotActive	
AuthRightNotActive	
