KEY ID	European Portuguese
ResetSeismic	Repor estabilizadores sísmicos
SeismicHoldToStop	Segurar para ativar o estabilizador sismico
SeismicNominal	Atividade sismica estavel
ScanBoardingPass	Analisar bilhete
FixWeatherNode	Reparar meteorologia
OpenWaterways	Abrir hidrovias
ReplaceWaterJug	Substituir o bidão
RepairDrill	Reparar broca
AlignTelescope	Alinhar telescópio
RecordTemperature	Registar temperatura
RebootWifi	Reiniciar Wi-Fi
WifiRebootRequired	É preciso reiniciar
WifiPleaseWait	Aguarda
WifiPleaseReturnIn	Volta em {0}.
WifiPleasePowerOn	Ligar
WifiRebootComplete	Reinicialização completa
Outside	Exterior
Dropship	Nave
Decontamination2	Descontaminação
Specimens	Sala de amostras
BoilerRoom	Caldeiras
GameOverImpostorDead	Normalmente a Tripulação vence depois do Impostor morrer, mas em modo livre são todos reanimados.
GameOverImpostorKills	Normalmente o Impostor vence depois da Tripulação já não ter hipóteses, mas em modo livre são todos reanimados.
GameOverTaskWin	Normalmente a Tripulação vence depois da barra de tarefas estar cheia, mas em modo livre adicionamos mais tarefas.
GameOverSabotage	Normalmente o Impostor vence depois de conseguir sabotagem crítica. Mas em modo livre desativamos essa possibilidade.
HowToPlayText2Switch	Joga online com 4 a 10 jogadores através da adesão ao Nintendo Switch Online ou via Wi-Fi local!
VentDirection	Direção da ventilação
VentMove	Mover pela ventilação
MenuNavigate	Navegar
NsoError	Não foi possível ligar à rede.
ErrorServerOverload	Os servidores do Among Us estão sobrecarregados.\r\n\r\nUps! Tenta mais tarde!
ErrorIntentionalLeaving	Se abandonares uma partida, não podes entrar noutra durante {0} minutos.
ErrorFocusLost	Perdeste a ligação porque o Among Us foi suspendido por outra aplicação.
ErrorBanned	Baniram-te de: {0}.\r\n\r\nNão podes voltar a esta sala.
ErrorKicked	Expulsaram-te de: {0}.\r\n\r\nSe a sala não tiver iniciado a partida, podes voltar.
ErrorBannedNoCode	Baniram-te da sala.\r\n\r\nNão podes voltar a esta sala.
ErrorKickedNoCode	Expulsaram-te da sala.\r\n\r\nSe a sala não tiver iniciado a partida, podes voltar.
ErrorHacking	Baniram-te por usar hacks.\r\n\r\nNão voltes a fazê-lo.
ErrorFullGame	Tentaste entrar numa partida cheia.\r\n\r\nPergunta à organização se tens vaga na próxima ronda.
ErrorStartedGame	Tentaste entrar numa partida que já começou.\r\n\r\nPergunta à organização se tens vaga na próxima ronda.
ErrorNotFoundGame	Não encontrámos a partida que procuras.
ErrorInactivity	O servidor interrompeu esta partida. Possivelmente devido a inatividade.
ErrorGenericOnlineDisconnect	Perdeste a ligação ao servidor.\r\nSe for algo frequente, verifica a ligação.\r\nTambém pode ser um problema do servidor.
ErrorGenericLocalDisconnect	Perdeste a ligação à organização.\r\n\r\nSe for algo frequente, verifica o teu sinal Wi-Fi.
ErrorInvalidName	Nome de utilizador inválido: {0}
ErrorUnknown	Perdeste a ligação ao servidor devido a um erro desconhecido.
ErrorIncorrectVersion	A aplicação está desatualizada.\r\n\r\nAtualiza-a para jogares online.
	
ServerNA	América do Norte
ServerEU	Europa
ServerAS	Ásia
ServerSA	América do Sul
LangEnglish	English
LangFrench	Français
LangItalian	Italiano
LangGerman	Deutsch
LangSpanish	Español
LangSpanishLATAM	Español (Latinoamérica)
LangBrazPort	Português (Brasil)
LangPort	Português
LangRussian	Русский
LangJapanese	日本語
LangKorean	한국어
LangDutch	Nederlands
LangFilipino	Bisaya
PlayerName	Jogador
MyTablet	Tablet pessoal
Headquarters	Sede
DownloadTestEstTimeS	Tempo estimado: {0}s
DownloadTestEstTimeMS	Tempo estimado: {0}m {1}s
DownloadTestEstTimeHMS	Tempo estimado: {0}hr {1}m {2}s
DownloadTestEstTimeDHMS	Tempo estimado: {0}d {1}hr {2}m {3}s
DownloadComplete	Concluído
GrabCoffee	BEBE UM CAFEZINHO
TakeBreak	DESCANSA UM POUCO
DontNeedWait	ESPERAS SE QUISERES
DoSomethingElse	FAZ OUTRA COISA
NodeTB	Nó_TB
NodeIRO	Nó_IRO
NodeGI	Nó_GI
NodePD	Nó_PD
NodeCA	Nó_CA
NodeMLG	Nó_MLG
Vending	Aguarda
OtherLanguage	Outro
ImposterAmtAny	1-3
	
VitalsORGN	LRNJ
VitalsBLUE	AZUL
VitalsRED	VERM
VitalsBRWN	CAST
VitalsGRN	VERD
VitalsPINK	ROSA
VitalsWHTE	BRNC
VitalsYLOW	AMRL
VitalsBLAK	PRET
VitalsPURP	ROXO
VitalsCYAN	CIAN
VitalsLIME	LIMA
ColorOrange	LRNJ
ColorBlue	AZUL
ColorRed	VERM
ColorBrown	CAST
ColorGreen	VERD
ColorPink	ROSA
ColorWhite	BRNC
ColorYellow	AMRL
ColorBlack	PRETO
ColorPurple	ROXO
ColorCyan	CIAN
ColorLime	LIMA
MedID	ID:
MedC	COR:
MedHT	ALT.:
MedBT	T.S:
MedWT	P.:
MedETA	ESTIMADO {0}
MedHello	OI!
LobbySizeWarning	Podes jogar Among Us com 4 jogadores, \nmas recomendamos 5 ou mais.\n\nAs partidas de 4 jogadores são demasiado rápidas e normalmente vence o impostor.
Okay	OK
OkayDontShow	OK, não mostrar isto
Nevermind	Esquece
CamEast	Este
CamCentral	Central
CamNortheast	Nordeste
CamSouth	Sul
CamSouthwest	Sudoeste
CamNorthwest	Noroeste
LoadingFailed	Falha ao carregar:
PetFailFetchData	impossível localizar dados da mascote
BadResult	ERRADO
More	MAIS {0}
Processing	A processar
ExitGame	Sair da partida
WaitingForHost	A aguardar pela \norganização
LeftGameError	{0} abandonou a partida devido a um erro.
PlayerWasBannedBy	{1} baniu {0}
PlayerWasKickedBy	{1} expulsou {0}
Dummy	Boneco
Bad	ERRADO
Status	Estado: 
Fine	CERTO
OK	OK
SecondsAbbv	{0}s
PetTryOn	Experimenta alguma coisa!
DataPolicyWhat	O que é recolhido?
	
	
	
VaultRoom	Caixa-forte
Cockpit	Cockpit
Armory	Arsenal
Kitchen	Cozinha
ViewingDeck	Zona de Observação
HallOfPortraits	Galeria
Medical	Consultório
CargoBay	Porão
Ventilation	Ventilação
Showers	Balneário
Engine	Sala das Máquinas
Brig	Brigue
MeetingRoom	Sala de Reuniões
Records	Arquivos
Lounge	Lounge
GapRoom	Sala sem Ponte
MainHall	Sala Principal
	
PolishRuby	Dar brilho ao rubi
ResetBreakers	Reiniciar disjuntores
Decontaminate	Descontaminar
MakeBurger	Fazer hambúrguer
UnlockSafe	Destrancar cofre
SortRecords	Organizar arquivos
PutAwayPistols	Guardar pistolas
PutAwayRifles	Guardar espingardas
FixShower	Consertar chuveiro
CleanToilet	Limpar sanita
DressMannequin	Vestir manequim
PickUpTowels	Apanhar toalhas
RewindTapes	Rebobinar cassetes
StartFans	Ligar ventoinhas
DevelopPhotos	Revelar fotos
GetBiggolSword	Obter Espada Biggol
StopCharles	Desviar da rota de colisão
	
RevealCode	Mostrar código
DirtyHeader	SUJIDADE
AuthLeftOkay	
AuthRightOkay	
AuthLeftActive	
AuthRightActive	
AuthLeftNotActive	
AuthRightNotActive	
